Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:21:40.881000,RAI,7,0 days 00:01:24.405000,7.0,1.0,,,0 days 00:00:24.199000,0 days 00:00:31.782000,0 days 00:00:28.424000,0 days 00:20:40.693000,0 days 00:21:12.475000,0 days 00:21:40.899000,260.0,244.0,276.0,306.0,True,SOFT,9.0,False,Ferrari,0 days 00:20:16.476000,2018-05-13 13:26:23.300,1,4.0,False,,False,True,16.7,51.5,1001.3,False,36.6,37,0.9
0 days 00:23:04.603000,RAI,7,0 days 00:01:23.722000,8.0,1.0,,,0 days 00:00:23.723000,0 days 00:00:31.552000,0 days 00:00:28.447000,0 days 00:22:04.622000,0 days 00:22:36.174000,0 days 00:23:04.621000,255.0,256.0,276.0,,True,SOFT,10.0,False,Ferrari,0 days 00:21:40.881000,2018-05-13 13:27:47.705,1,4.0,False,,False,True,16.3,50.9,1001.4,False,36.7,52,1.0
0 days 00:43:38.445000,RAI,7,0 days 00:01:21.531000,23.0,1.0,,,0 days 00:00:23.238000,0 days 00:00:30.598000,0 days 00:00:27.695000,0 days 00:42:40.170000,0 days 00:43:10.768000,0 days 00:43:38.463000,276.0,273.0,277.0,300.0,True,SOFT,25.0,False,Ferrari,0 days 00:42:16.914000,2018-05-13 13:48:23.738,1,2.0,False,,False,True,15.7,52.8,1001.5,False,29.7,57,2.5
0 days 00:21:39.649000,BOT,77,0 days 00:01:23.984000,7.0,1.0,,,0 days 00:00:23.937000,0 days 00:00:31.631000,0 days 00:00:28.416000,0 days 00:20:39.616000,0 days 00:21:11.247000,0 days 00:21:39.663000,255.0,251.0,280.0,318.0,True,SOFT,9.0,False,Mercedes,0 days 00:20:15.665000,2018-05-13 13:26:22.489,1,3.0,False,,False,True,16.7,51.5,1001.3,False,36.6,37,0.9
0 days 00:23:03.094000,BOT,77,0 days 00:01:23.445000,8.0,1.0,,,0 days 00:00:23.519000,0 days 00:00:31.230000,0 days 00:00:28.696000,0 days 00:22:03.182000,0 days 00:22:34.412000,0 days 00:23:03.108000,,254.0,278.0,314.0,True,SOFT,10.0,False,Mercedes,0 days 00:21:39.649000,2018-05-13 13:27:46.473,1,3.0,False,,False,True,16.3,50.9,1001.4,False,36.7,52,1.0
0 days 01:06:55.302000,BOT,77,0 days 00:01:21.257000,40.0,2.0,,,0 days 00:00:22.734000,0 days 00:00:30.398000,0 days 00:00:28.125000,0 days 01:05:56.793000,0 days 01:06:27.191000,0 days 01:06:55.316000,273.0,262.0,290.0,312.0,False,MEDIUM,21.0,True,Mercedes,0 days 01:05:34.045000,2018-05-13 14:11:40.869,12,3.0,False,,False,True,15.9,51.7,1001.6,False,32.2,27,1.1
0 days 01:34:53.182000,BOT,77,0 days 00:01:20.006000,60.0,2.0,,,0 days 00:00:22.560000,0 days 00:00:29.949000,0 days 00:00:27.497000,0 days 01:33:55.750000,0 days 01:34:25.699000,0 days 01:34:53.196000,278.0,280.0,281.0,309.0,False,MEDIUM,41.0,True,Mercedes,0 days 01:33:33.176000,2018-05-13 14:39:40.000,1,2.0,False,,False,True,16.9,49.5,1001.6,False,32.9,64,2.5
0 days 01:36:13.001000,BOT,77,0 days 00:01:19.819000,61.0,2.0,,,0 days 00:00:22.720000,0 days 00:00:29.777000,0 days 00:00:27.322000,0 days 01:35:15.916000,0 days 01:35:45.693000,0 days 01:36:13.015000,,277.0,283.0,,False,MEDIUM,42.0,True,Mercedes,0 days 01:34:53.182000,2018-05-13 14:41:00.006,1,2.0,False,,False,True,16.8,50.2,1001.4,False,32.3,76,1.8
0 days 01:37:32.873000,BOT,77,0 days 00:01:19.872000,62.0,2.0,,,0 days 00:00:22.502000,0 days 00:00:29.770000,0 days 00:00:27.600000,0 days 01:36:35.517000,0 days 01:37:05.287000,0 days 01:37:32.887000,281.0,277.0,283.0,,False,MEDIUM,43.0,True,Mercedes,0 days 01:36:13.001000,2018-05-13 14:42:19.825,1,2.0,False,,False,True,17.0,49.1,1001.5,False,32.4,52,2.4
0 days 01:38:52.931000,BOT,77,0 days 00:01:20.058000,63.0,2.0,,,0 days 00:00:22.527000,0 days 00:00:29.964000,0 days 00:00:27.567000,0 days 01:37:55.414000,0 days 01:38:25.378000,0 days 01:38:52.945000,,274.0,283.0,310.0,False,MEDIUM,44.0,True,Mercedes,0 days 01:37:32.873000,2018-05-13 14:43:39.697,1,2.0,False,,False,True,17.0,50.1,1001.6,False,32.3,64,2.2
